country_code,year,medal_count,country_name,gdp,athlete_count,ratio
COL,1972,3,Colombia,8671358732.68486,75,0.04
COL,1984,1,Colombia,38253120737.9671,48,0.020833333333333332
COL,1988,1,Colombia,39212550050.4223,57,0.017543859649122806
COL,1992,1,Colombia,49279585355.0948,61,0.01639344262295082
COL,2000,1,Colombia,99886577330.7271,54,0.018518518518518517
COL,2004,2,Colombia,117074863821.85,71,0.028169014084507043
COL,2008,2,Colombia,243982436734.233,90,0.022222222222222223
COL,2012,8,Colombia,369659697842.885,120,0.06666666666666667
COL,2016,8,Colombia,282462551366.878,157,0.050955414012738856
CUB,1972,22,Cuba,8135150891.92025,201,0.10945273631840796
CUB,1976,24,Cuba,13789579902.5579,194,0.12371134020618557
CUB,1980,20,Cuba,19912889861.1111,288,0.06944444444444445
CUB,1992,69,Cuba,22085858243.2432,196,0.3520408163265306
CUB,1996,55,Cuba,25017300000,178,0.3089887640449438
CUB,2000,65,Cuba,30565400000,271,0.23985239852398524
CUB,2004,62,Cuba,38203000000,177,0.3502824858757062
CUB,2008,47,Cuba,60806300000,171,0.27485380116959063
CUB,2012,14,Cuba,73141000000,118,0.11864406779661017
CYP,2012,1,Cyprus,25041372221.5084,13,0.07692307692307693
CZE,1996,13,Czech Republic,66985765439.1937,169,0.07692307692307693
CZE,2000,9,Czech Republic,61649492816.5201,162,0.05555555555555555
CZE,2004,13,Czech Republic,119162172468.268,171,0.07602339181286549
CZE,2008,7,Czech Republic,235718586901.129,158,0.04430379746835443
CZE,2012,14,Czech Republic,207376427020.815,159,0.0880503144654088
CZE,2016,15,Czech Republic,195305084919.138,135,0.1111111111111111
DJI,1988,1,Djibouti,395794538.630775,6,0.16666666666666666
DOM,1984,1,Dominican Republic,10330399700,24,0.041666666666666664
DOM,2004,1,Dominican Republic,22039232609.9553,33,0.030303030303030304
DOM,2008,2,Dominican Republic,48288967303.4896,27,0.07407407407407407
DOM,2012,2,Dominican Republic,60613645121.3529,36,0.05555555555555555
DOM,2016,1,Dominican Republic,71583553487.5646,30,0.03333333333333333
ECU,1996,1,Ecuador,25226393196.5983,28,0.03571428571428571
ECU,2008,1,Ecuador,61762635000,26,0.038461538461538464
EGY,1984,1,"Egypt, Arab Rep.",30642873038.0563,151,0.006622516556291391
EGY,2004,5,"Egypt, Arab Rep.",78845185293.4964,104,0.04807692307692308
EGY,2008,1,"Egypt, Arab Rep.",162818181818.182,116,0.008620689655172414
EGY,2012,2,"Egypt, Arab Rep.",279372758361.832,132,0.015151515151515152
EGY,2016,3,"Egypt, Arab Rep.",332791045963.807,137,0.021897810218978103
