country_code,year,death_rate
PRT,1999,33.393325008050084
PRT,2000,31.557664718973086
PRT,2001,30.66354827206902
PRT,2002,30.15914975667873
PRT,2003,29.50502900861267
PRT,2004,27.078659639319902
PRT,2005,25.64995106396988
PRT,2006,24.544552281196786
PRT,2007,23.88641571459339
PRT,2008,22.99478250818482
PRT,2009,22.16198682814617
PRT,2010,21.071695605614472
PRT,2011,20.41809337068763
PRT,2012,18.867129426241483
PRT,2013,18.12401160482938
PRT,2014,16.66368331317589
PRT,2015,16.128803846113826
PRT,2016,15.180827886051022
PRT,2017,15.49125211039693
PRI,1990,26.68863363226641
PRI,1991,26.468288113187853
PRI,1992,26.719974442581698
PRI,1993,26.90072731708146
PRI,1994,26.463871890996312
PRI,1995,27.14055309983667
PRI,1996,27.57234809964247
PRI,1997,27.33103386784862
PRI,1998,29.730597326068622
PRI,1999,29.064186963294983
PRI,2000,28.368445916409925
PRI,2001,28.440839247936943
PRI,2002,26.652477430800626
PRI,2003,26.302992824394803
PRI,2004,26.467794111941412
PRI,2005,26.23607337554169
PRI,2006,24.861487877670612
PRI,2007,24.392309068108272
PRI,2008,23.74811044440715
PRI,2009,23.46467649189093
PRI,2010,22.251010237733507
PRI,2011,22.707856607874845
PRI,2012,20.30781479327373
PRI,2013,19.46372753496978
PRI,2014,17.826842455256546
PRI,2015,16.705781909556865
PRI,2016,16.515578876099436
PRI,2017,16.96289757358247
QAT,1990,130.09484466730038
QAT,1991,131.16676331704505
QAT,1992,132.75174299240567
QAT,1993,136.8329115736453
QAT,1994,135.33149365329746
QAT,1995,131.39197468727187
QAT,1996,132.08689243535954
QAT,1997,131.14803413633246
QAT,1998,129.6006654816407
QAT,1999,125.0774505267466
QAT,2000,117.22164013393828
QAT,2001,107.78619594996698
QAT,2002,100.96935627107705
QAT,2003,94.2359628943577
QAT,2004,89.46130635519093
QAT,2005,89.07030433526621
QAT,2006,85.73332855562981
QAT,2007,82.91633804901736
QAT,2008,83.11511614054221
QAT,2009,80.48219039149616
QAT,2010,76.8320467436366
QAT,2011,73.04854219915866
QAT,2012,71.45039386552867
QAT,2013,68.79959581605605
QAT,2014,64.84661732096086
QAT,2015,64.72292148053695
QAT,2016,62.04042744836082
QAT,2017,61.793882945014076
ROU,1990,89.53409515886194
ROU,1991,87.01699223428588
ROU,1992,89.03010508479329
ROU,1993,87.40898873718679
ROU,1994,85.74602530642056
ROU,1995,85.36385266739275
ROU,1996,86.94458278544326
ROU,1997,84.62085783640931
ROU,1998,79.05461095548449
ROU,1999,74.37863789077883
ROU,2000,70.186707136138
ROU,2001,69.43315853543581
ROU,2002,69.10199249194991
ROU,2003,66.54780724206722
ROU,2004,62.687503349252225
ROU,2005,60.610357378190805
ROU,2006,57.52410439224127
ROU,2007,54.2916188659445
ROU,2008,53.110940078361246
ROU,2009,52.227905826034764
ROU,2010,50.68403639728299
ROU,2011,47.45551663214108
ROU,2012,45.54557436211496
ROU,2013,43.02159031398452
ROU,2014,42.48943136070724
ROU,2015,42.257671872218246
ROU,2016,40.79870077511529
ROU,2017,40.416006134925496
RUS,1990,63.093302679903736
RUS,1991,63.60650840257862
RUS,1992,67.42549245607736
RUS,1993,79.4336396614145
RUS,1994,85.31372551672042
RUS,1995,78.66617569027012
RUS,1996,74.98906916084016
RUS,1997,71.3576676722498
RUS,1998,69.75587037673772
RUS,1999,74.21841986962654
RUS,2000,75.16086571892743
RUS,2001,77.32612168320088
RUS,2002,79.52509012250665
RUS,2003,79.92219786458624
RUS,2004,76.2284659878175
RUS,2005,75.94012650770742
RUS,2006,70.21525402147891
RUS,2007,66.39759784841351
RUS,2008,65.86957409246567
RUS,2009,61.65558220746165
RUS,2010,60.04211234978276
RUS,2011,54.797597853156006
RUS,2012,51.27870147404287
RUS,2013,48.80349417958248
RUS,2014,46.970719141651365
RUS,2015,46.080050718980885
RUS,2016,43.76386603444572
RUS,2017,42.73102727671296
RWA,1990,221.64544394899247
RWA,1991,226.09428903356647
RWA,1992,226.653783153532
RWA,1993,242.75734632137045
RWA,1994,259.5388639900786
RWA,1995,244.40185749953508
RWA,1996,237.09513330677504
RWA,1997,231.89906507022863
RWA,1998,228.43334494601254
RWA,1999,217.68444820326806
RWA,2000,202.81970528781582
RWA,2001,188.59867794691212
RWA,2002,175.47914944050595
RWA,2003,163.74620310633227
RWA,2004,154.83551791074044
RWA,2005,145.3277794072955
RWA,2006,137.85741415156627
RWA,2007,131.27390078395774
RWA,2008,124.69984081533653
RWA,2009,117.65883089682028
RWA,2010,113.12300715428502
RWA,2011,109.08298485520777
RWA,2012,106.31070303043829
RWA,2013,104.10303836014484
RWA,2014,102.61228368958919
RWA,2015,100.55949391131585
RWA,2016,98.49676310613953
RWA,2017,97.08200323569254
LCA,1990,78.2708740348254
LCA,1991,77.05391280404076
LCA,1992,75.7200108084927
LCA,1993,73.19024618387486
LCA,1994,71.77066699284005
LCA,1995,69.05549674507724
LCA,1996,66.42065981933507
LCA,1997,63.65121218065251
LCA,1998,60.42098854639851
LCA,1999,57.3945832887445
LCA,2000,54.73984478666222
LCA,2001,53.35276739639179
LCA,2002,53.63956728665381
LCA,2003,53.98984778948949
LCA,2004,53.17210080694563
LCA,2005,51.32059681777349
LCA,2006,49.43910585669387
LCA,2007,47.2359527870009
LCA,2008,44.759117141622944
LCA,2009,43.76086181022968
LCA,2010,42.94056937446849
LCA,2011,42.08926319208944
LCA,2012,40.572154174986835
LCA,2013,39.75060147080237
LCA,2014,39.327522875648896
LCA,2015,39.72653762192336
