country_code,year,medal_count,death_rate
UZB,1996,2,117.70396025405994
UZB,2000,4,118.70347847311568
UZB,2004,5,132.40125620316545
UZB,2008,6,127.58539090782247
UZB,2012,3,117.91786591677314
UZB,2016,13,105.8142264331703
VEN,2004,2,38.434199944146634
VEN,2008,1,38.55256750852561
VEN,2012,1,37.303119698042956
VEN,2016,3,34.430328988302726
