country_code,year,medal_count,country_name,gdp
FRA,2016,96,France,2465453975282.24
GAB,2012,1,Gabon,17171446922.2104
GBR,1960,28,United Kingdom,72328047042.1588
GBR,1964,28,United Kingdom,93387598813.9269
GBR,1968,19,United Kingdom,104702736248.084
GBR,1972,29,United Kingdom,169965034965.035
GBR,1976,32,United Kingdom,232614555256.065
GBR,1980,47,United Kingdom,564947710899.373
GBR,1984,71,United Kingdom,461487097632.349
GBR,1988,54,United Kingdom,910122732123.799
GBR,1992,50,United Kingdom,1179659529659.53
GBR,1996,26,United Kingdom,1408781591263.65
GBR,2000,54,United Kingdom,1647951278559.54
GBR,2004,57,United Kingdom,2398555474185.28
GBR,2008,81,United Kingdom,2890564338235.29
GBR,2012,126,United Kingdom,2662085168498.93
GBR,2016,145,United Kingdom,2647898654635.24
GEO,1996,2,Georgia,3094915505.9093
GEO,2000,6,Georgia,3057453482.55826
GEO,2004,4,Georgia,5125273880.74998
GEO,2008,6,Georgia,12795044472.7663
GEO,2012,7,Georgia,15846474595.773
GEO,2016,7,Georgia,14378016729.1587
GHA,1960,1,Ghana,1217230094.97205
GHA,1964,1,Ghana,1731296199.52296
GHA,1972,1,Ghana,2112293279.98507
GHA,1992,20,Ghana,6413901601.83066
GUY,1980,1,Guyana,603200000
HKG,1996,1,"Hong Kong SAR, China",159717233621.659
HKG,2004,2,"Hong Kong SAR, China",169099768875.193
HKG,2012,1,"Hong Kong SAR, China",262629441493.476
HUN,1992,45,Hungary,38724945367.8583
HUN,1996,43,Hungary,46659796772.5473
HUN,2000,53,Hungary,47310623887.2319
HUN,2004,40,Hungary,104066609517.928
HUN,2008,27,Hungary,157998423131.739
HUN,2012,26,Hungary,127856647107.82
HUN,2016,22,Hungary,125816640420.569
IND,1960,13,India,36535925029.925
IND,1964,15,India,55726873075.8731
IND,1968,16,India,52377324280
IND,1972,14,India,70509913046.8528
IND,1980,16,India,183839864648.794
IND,1996,1,India,387656017799.599
IND,2000,1,India,462146799336.77
IND,2004,1,India,699688852930.441
IND,2008,3,India,1186952757635.85
IND,2012,6,India,1827637859135.7
IND,2016,2,India,2263792499341.01
IRL,1964,1,Ireland,2766608945.87402
IRL,1980,3,Ireland,21773901116.6855
IRL,1984,1,Ireland,20130728273.8603
IRL,1992,2,Ireland,55985505158.7833
IRL,1996,4,Ireland,75880630040.3226
IRL,2000,1,Ireland,99853528745.1631
IRL,2008,3,Ireland,275020018163.176
IRL,2012,5,Ireland,225571857948.338
IRL,2016,3,Ireland,304819020500.641
IRQ,1960,1,Iraq,1684121534.58415
ISL,1984,1,Iceland,2887825523.68452
ISL,2000,1,Iceland,8946079678.43696
ISL,2008,14,Iceland,17640375722.4448
ISR,1992,2,Israel,75575902931.967
ISR,1996,1,Israel,109957321960.084
ISR,2000,1,Israel,132339311284.428
ISR,2004,2,Israel,135445033199.465
ISR,2008,1,Israel,215840354626.533
ISR,2016,2,Israel,317744784695.1
ITA,1960,88,Italy,40385288344.1911
ITA,1964,51,Italy,63175417019.0094
ITA,1968,33,Italy,87942231678.3505
ITA,1972,25,Italy,144780887782.205
ITA,1976,31,Italy,223976030937.427
ITA,1980,37,Italy,475682506443.59
