country_code,year,medal_count,GDP
ECU,1996,1,25226393196.5983
ECU,2008,1,61762635000
EGY,1984,1,30642873038.0563
EGY,2004,5,78845185293.4964
EGY,2008,1,162818181818.182
ERI,2004,1,1109054005.43971
ESP,1976,6,118185307386.222
ESP,1980,24,232134606637.271
ESP,1984,19,171635463361.623
ESP,1988,5,375138723325.239
ESP,1992,66,629202392003.901
ESP,1996,67,640998292394.588
ESP,2000,43,595402616546.895
ESP,2004,27,1069555500372.49
ESP,2008,71,1635015380108.39
EST,2000,3,5685774808.80862
EST,2004,3,12059201242.236
EST,2008,3,24194039255.8957
ETH,1992,3,10492993077.6093
ETH,1996,3,8547939730.62374
ETH,2000,8,8242392103.68061
ETH,2004,7,10131187261.4421
ETH,2008,7,27066912635.2228
FIN,1976,6,31873171718.726
FIN,1980,9,53685049410.2646
FIN,1984,12,52926394934.7052
FIN,1988,4,109103056147.832
FIN,1992,7,112625431377.754
FIN,1996,4,132099404607.818
FIN,2000,5,125539893126.958
FIN,2004,2,196768065557.487
FIN,2008,5,283742493042.332
FRA,1976,20,373410270417.919
FRA,1980,29,703525302701.025
FRA,1984,68,532648802822.187
FRA,1988,29,1023504019381.13
FRA,1992,57,1408724907063.2
FRA,1996,51,1614245416078.98
FRA,2000,66,1368438363736.87
FRA,2004,53,2124112242364.04
FRA,2008,76,2923465651091.26
GBR,1976,32,232614555256.065
GBR,1980,45,564947710899.373
GBR,1984,72,461487097632.349
GBR,1988,53,910122732123.799
GBR,1992,50,1179659529659.53
GBR,1996,26,1408781591263.65
GBR,2000,55,1647951278559.54
GBR,2004,57,2398555474185.28
GBR,2008,77,2890564338235.29
GEO,1996,2,3094915505.9093
GEO,2000,6,3057453482.55826
GEO,2004,4,5125273880.74998
GEO,2008,6,12795044472.7663
GHA,1992,13,6413901601.83066
GUY,1980,1,603200000
HKG,1996,1,159717233621.659
HKG,2004,2,169099768875.193
HUN,1992,45,38724945367.8583
HUN,1996,43,46659796772.5473
HUN,2000,53,47310623887.2319
HUN,2004,40,104066609517.928
HUN,2008,27,157998423131.739
IND,1980,16,183839864648.794
IND,1996,1,387656017799.599
IND,2000,1,462146799336.77
IND,2004,1,699688852930.441
IND,2008,3,1186952757635.85
IRL,1980,3,21773901116.6855
IRL,1984,1,20130728273.8603
IRL,1992,2,55985505158.7833
IRL,1996,4,75880630040.3226
IRL,2000,1,99853528745.1631
IRL,2008,3,275020018163.176
ISL,1984,1,2887825523.68452
ISL,2000,1,8946079678.43696
ISL,2008,14,17640375722.4448
ISR,1992,2,75575902931.967
ISR,1996,1,109957321960.084
ISR,2000,1,132339311284.428
ISR,2004,2,135445033199.465
ISR,2008,1,215840354626.533
ITA,1976,31,223976030937.427
ITA,1980,37,475682506443.59
ITA,1984,63,436443280912.497
ITA,1988,29,888667913418.625
ITA,1992,46,1315806985860.17
ITA,1996,71,1308929351236.04
ITA,2000,65,1141759996314.72
ITA,2004,102,1798314750434.57
ITA,2008,42,2390729163615.06
JAM,1976,2,2966010229.8977
JAM,1980,3,2679409453.23903
JAM,1984,6,2373566957.49214
JAM,1988,5,3828310734.97795
JAM,1992,4,3530892749.02131
JAM,1996,16,6504445801.34228
JAM,2000,23,8929375580.31569
JAM,2004,13,10150978154.5484
JAM,2008,17,13678606692.2655
JPN,1976,41,583142956487.974
JPN,1984,49,1309740021609.74
JPN,1988,20,3050637784817.52
