country_code,year,medal_count,death_rate,athlete_count,ratio
BLR,2012,23,60.024917471278044,185,0.12432432432432433
BLR,2016,12,50.78554254856133,142,0.08450704225352113
BRA,1992,14,69.97593942904952,249,0.05622489959839357
BRA,1996,63,60.677567773167105,251,0.250996015936255
BRA,2000,48,50.9968563242018,236,0.2033898305084746
BRA,2004,40,45.22023967329941,318,0.12578616352201258
BRA,2008,78,39.40700664459148,338,0.23076923076923078
BRA,2012,59,35.39068712491836,306,0.19281045751633988
BRA,2016,50,30.349578155443645,583,0.08576329331046312
BRN,2012,1,29.52440600015166,14,0.07142857142857142
BRN,2016,2,20.478625328003286,33,0.06060606060606061
CAN,1992,44,23.009470509058634,631,0.06973058637083994
CAN,1996,50,22.18101304647748,408,0.12254901960784313
CAN,2000,31,20.264862852606562,422,0.07345971563981042
CAN,2004,17,18.40919357387859,391,0.043478260869565216
CAN,2008,35,16.51813805891428,449,0.0779510022271715
CAN,2012,55,13.829675583586221,354,0.1553672316384181
CAN,2016,69,11.002674780961692,405,0.17037037037037037
CHN,1992,82,177.2834671803102,468,0.1752136752136752
CHN,1996,106,155.38579494335812,438,0.2420091324200913
CHN,2000,79,133.13668522384467,414,0.19082125603864733
CHN,2004,94,118.0011858408618,518,0.18146718146718147
CHN,2008,184,95.43912890437898,730,0.25205479452054796
CHN,2012,125,85.77144183514751,479,0.2609603340292276
CHN,2016,113,74.70570934957617,499,0.22645290581162325
CIV,2016,2,123.02454755770036,15,0.13333333333333333
CMR,2000,18,163.63020246237429,39,0.46153846153846156
CMR,2004,1,156.97417645269013,19,0.05263157894736842
CMR,2008,1,147.02824304823068,32,0.03125
COL,1992,1,53.92457020883623,61,0.01639344262295082
COL,2000,1,40.42246475201321,54,0.018518518518518517
COL,2004,2,38.0569881361012,71,0.028169014084507043
COL,2008,2,33.07322475298272,90,0.022222222222222223
COL,2012,8,26.588128214090606,120,0.06666666666666667
COL,2016,8,22.415220772082826,157,0.050955414012738856
CUB,1992,69,52.56296003149388,196,0.3520408163265306
CUB,1996,55,50.897232868337,178,0.3089887640449438
CUB,2000,65,43.999918929156735,271,0.23985239852398524
CUB,2004,62,40.69539010240443,177,0.3502824858757062
CUB,2008,47,37.76451813649393,171,0.27485380116959063
CUB,2012,14,34.17961436755158,118,0.11864406779661017
CUB,2016,11,32.94971454020374,143,0.07692307692307693
CYP,2012,1,29.41645465883507,13,0.07692307692307693
CZE,1996,13,54.78861829827335,169,0.07692307692307693
CZE,2000,9,46.86383997288032,162,0.05555555555555555
CZE,2004,13,42.35643632291407,171,0.07602339181286549
CZE,2008,7,38.46517075514859,158,0.04430379746835443
CZE,2012,14,34.859637210577304,159,0.0880503144654088
CZE,2016,15,30.791526739212106,135,0.1111111111111111
DOM,2004,1,36.62518859735959,33,0.030303030303030304
DOM,2008,2,36.77349054900893,27,0.07407407407407407
DOM,2012,2,36.152273749783006,36,0.05555555555555555
DOM,2016,1,37.686763633898266,30,0.03333333333333333
ECU,1996,1,40.58898169043892,28,0.03571428571428571
ECU,2008,1,36.873884870516186,26,0.038461538461538464
EGY,2004,5,119.21321128008917,104,0.04807692307692308
EGY,2008,1,115.87345283435319,116,0.008620689655172414
EGY,2012,2,113.4428130123153,132,0.015151515151515152
EGY,2016,3,114.10889105390818,137,0.021897810218978103
ERI,2004,1,171.22997919164624,5,0.2
ESP,1992,69,30.192931845612765,582,0.11855670103092783
ESP,1996,66,27.965041501985258,384,0.171875
ESP,2000,42,25.27931282894245,431,0.09744779582366589
ESP,2004,30,22.73765548521124,423,0.07092198581560284
ESP,2008,70,19.940107676471055,355,0.19718309859154928
ESP,2012,63,17.15335626660779,339,0.18584070796460178
ESP,2016,45,14.776496470057172,363,0.12396694214876033
EST,1992,3,53.836478570178556,97,0.030927835051546393
EST,2000,3,42.948624015714664,41,0.07317073170731707
